No,Salary
33858,69697.14922511559
33859,92764.43604258627
33860,86076.63643155192
33861,26327.848306935368
33862,83673.63467182791
33863,95628.1508940373
33864,23578.62068471494
33865,112733.86317039297
33866,47531.78341949967
33867,105432.47859775493
33868,115818.92789847191
33869,37599.59942470391
33870,96045.7019166658
33871,108251.82752140237
33872,78933.23801293362
33873,19192.81337645215
33874,160725.90203581084
33875,40909.907943112405
33876,43980.331860308404
33877,7402.487404716632
33878,82803.35962736403
33879,30421.38555876763
33880,14329.144185731771
33881,92578.33588980112
33882,4586.2811257741705
33883,33722.75562996655
33884,100394.58420682389
33885,83777.7911494499
33886,104617.11639857042
33887,67000.94318118885
33888,19200.173548247614
33889,115041.97911603762
33890,38389.24513124204
33891,124635.8389459573
33892,123152.96372382398
33893,57811.493792784386
33894,94242.5830016356
33895,7064.873742667802
33896,9092.523221596697
33897,9689.197023083978
33898,59724.50861349354
33899,35915.486509712915
33900,77860.65100348624
33901,15648.375930251977
33902,55819.069964617694
33903,54060.82913395307
33904,78088.07453355467
33905,57823.947103417544
33906,59427.144722519464
33907,44481.60345988016
33908,-3664.5275348785185
33909,9318.698967272161
33910,43030.031962719615
33911,27353.747532872214
33912,9802.51756121228
33913,77664.92530391624
33914,42065.69132495753
33915,23737.075452579094
33916,37365.1965450102
33917,51908.6704839053
33918,14280.728239204886
33919,28934.9775812221
33920,10416.299894032887
33921,23475.081537129878
33922,20461.712643728264
33923,100097.50088877216
33924,63878.67530088671
33925,106666.91544276757
33926,69569.9994005189
33927,148785.6697021555
33928,8686.370232533642
33929,23674.59871261493
33930,30095.347755574934
33931,32046.2195491442
33932,51651.92375866312
33933,6525.180935938491
33934,28052.010207075946
33935,29624.49047513736
33936,11875.457344551356
33937,13346.253714951823
33938,43175.805610963645
33939,1465.2508539642147
33940,59243.34605513829
33941,85377.52870432749
33942,66516.26318100645
33943,17402.481417532657
33944,33673.59475820957
33945,67537.70119739947
33946,14911.984850845583
33947,6571.12972345088
33948,98319.99369130851
33949,65079.52407791439
33950,91976.50520040042
33951,140929.28523764742
33952,22036.866982340773
33953,1399.5061716921964
33954,9447.123786725204
33955,15254.565499442506
33956,37684.93033367038
33957,10677.115915733262
33958,66440.86868090954
33959,81865.89000083596
33960,100560.17473605041
33961,92986.1981354667
33962,57014.15721527046
33963,28657.350647638566
33964,75045.56495862073
33965,12589.213738924012
33966,14643.099868834579
33967,24368.35265064589
33968,55324.49573193376
33969,16897.818191541857
33970,144439.0720155005
33971,65797.58399160743
33972,126857.09554435473
33973,34715.165660010476
33974,95245.83543467801
33975,79023.75924253394
33976,85230.8625683908
33977,23529.172668833133
33978,31192.92858491737
33979,28356.910033577773
33980,106894.65519822948
33981,67464.25867452678
33982,38631.14332053699
33983,133490.61854032817
33984,41274.22682993659
33985,104951.50317872631
33986,106629.70761103404
33987,58650.284649647525
33988,95963.08069696734
33989,70375.66381851105
